Country,Region,Capital,Political Stability,Tax Rates,International Airport,Ports,Port Type,Climate,Dominant Language
Algeria,Northern Africa,Algiers,Fair,Moderate,Houari Boumediene Airport,Port of Algiers,Sea Port,Moderate,Arabic
Angola,Middle Africa,Luanda,Fair,High,Quatro de Fevereiro International Airport,Port of Luanda,Sea Port,Moderate,Portuguese
Benin,Western Africa,Porto-Novo,Good,Low,Cotonou Cadjehoun Airport,Port of Cotonou,Sea Port,Moderate,French
Botswana,Southern Africa,Gaborone,Good,Low,Sir Seretse Khama International Airport,Gaborone Inland Container Terminal,Inland Port,Hot,English
Burkina Faso,Western Africa,Ouagadougou,Fair,Low,Ouagadougou Airport,Ouagadougou Dry Port,Inland Port,Hot,French
Burundi,Eastern Africa,Bujumbura,Fair,Low,Bujumbura International Airport,Port of Bujumbura,Sea Port,Moderate,English
Cape Verde,Western Africa,Praia,Good,Low,Nelson Mandela International Airport,Port of Praia,Sea Port,Moderate,Portuguese
Cameroon,Middle Africa,Yaoundé,Fair,Moderate,Douala International Airport,Port of Douala,Sea Port,Moderate,French
Central African Republic,Middle Africa,Bangui,Fair,High,Bangui M'Poko International Airport,Port of Bangui,Inland Port,Tropical,French
Chad,Middle Africa,N'Djamena,Fair,High,N'Djamena International Airport,Port of N'Djamena,Inland Port,Hot,French
Comoros,Eastern Africa,Moroni,Good,Low,Prince Said Ibrahim International Airport,Port of Moroni,Sea Port,Tropical,French
Congo (Brazzaville),Middle Africa,Brazzaville,Fair,Moderate,Maya-Maya Airport,Port of Pointe-Noire,Sea Port,Tropical,French
Congo (Kinshasa),Middle Africa,Kinshasa,Fair,High,N'djili Airport,Port of Matadi,Sea Port,Tropical,French
Djibouti,Eastern Africa,Djibouti City,Fair,Moderate,Ambouli International Airport,Doraleh Multipurpose Port,Sea Port,Hot,French
Egypt,Northern Africa,Cairo,Fair,High,Cairo International Airport,Port of Alexandria,Sea Port,Hot,Arabic
Equatorial Guinea,Middle Africa,Malabo,Fair,High,Malabo International Airport,Port of Malabo,Sea Port,Tropical,Spanish
Eritrea,Eastern Africa,Asmara,Fair,Low,Asmara International Airport,Massawa Port,Sea Port,Hot,Arabic
Eswatini,Southern Africa,Mbabane,Good,Low,King Mswati III International Airport,Port of Ngwenya,Inland Port,Moderate,Swazi
Ethiopia,Eastern Africa,Addis Ababa,Fair,Moderate,Addis Ababa Bole International Airport,Port of Djibouti,Sea Port,Moderate,Amharic
Gabon,Middle Africa,Libreville,Fair,High,Libreville International Airport,Port of Owendo,Sea Port,Tropical,French
Gambia,Western Africa,Banjul,Good,Low,Banjul International Airport,Banjul Ports,Sea Port,Hot,English
Ghana,Western Africa,Accra,Good,Moderate,Kotoka International Airport,Tema Port,Sea Port,Tropical,English
Guinea,Western Africa,Conakry,Fair,Moderate,Conakry International Airport,Port of Conakry,Sea Port,Tropical,French
Guinea-Bissau,Western Africa,Bissau,Fair,Low,Osvaldo Vieira International Airport,Port of Bissau,Sea Port,Tropical,Portuguese
Ivory Coast,Western Africa,Yamoussoukro,Good,Low,Felix Houphouet Boigny International Airport,Port of Abidjan,Sea Port,Tropical,French
Kenya,Eastern Africa,Nairobi,Good,Moderate,Jomo Kenyatta International Airport,Port of Mombasa,Sea Port,Moderate,English
Lesotho,Southern Africa,Maseru,Good,Low,Moshoeshoe I International Airport,Maseru Inland Port,Inland Port,Moderate,English
Liberia,Western Africa,Monrovia,Good,Low,Roberts International Airport,Port of Monrovia,Sea Port,Tropical,English
Libya,Northern Africa,Tripoli,Fair,High,Mitiga International Airport,Port of Tripoli,Sea Port,Hot,Arabic
Madagascar,Eastern Africa,Antananarivo,Fair,Moderate,Ivato International Airport,Port of Toamasina,Sea Port,Tropical,French
Malawi,Eastern Africa,Lilongwe,Fair,Low,Kamuzu International Airport,Port of Nacala,Sea Port,Moderate,English
Mali,Western Africa,Bamako,Fair,Low,Bamako-Sénou International Airport,Bamako Inland Port,Inland Port,Hot,French
Mauritania,Western Africa,Nouakchott,Fair,Low,Nouakchott-Oumtounsy International Airport,Port of Nouakchott,Sea Port,Hot,Arabic
Mauritius,Eastern Africa,Port Louis,Good,Moderate,Sir Seewoosagur Ramgoolam International Airport,Port Louis Harbour,Sea Port,Moderate,English
Morocco,Northern Africa,Rabat,Fair,High,Mohammed V International Airport,Port of Casablanca,Sea Port,Moderate,Arabic
Mozambique,Eastern Africa,Maputo,Fair,Low,Maputo International Airport,Port of Maputo,Sea Port,Tropical,Portuguese
Namibia,Southern Africa,Windhoek,Good,Low,Hosea Kutako International Airport,Walvis Bay Port,Sea Port,Hot,English
Niger,Western Africa,Niamey,Fair,Low,Diori Hamani International Airport,Niamey Dry Port,Inland Port,Hot,French
Nigeria,Western Africa,Abuja,Fair,Moderate,Nnamdi Azikiwe International Airport,Lagos Port Complex,Sea Port,Tropical,English
Rwanda,Eastern Africa,Kigali,Good,Moderate,Kigali International Airport,Port of Kigali,Inland Port,Moderate,English
Sao Tome and Principe,Middle Africa,São Tomé,Good,Low,São Tomé International Airport,Port of São Tomé,Sea Port,Tropical,Portuguese
Senegal,Western Africa,Dakar,Good,Moderate,Blaise Diagne International Airport,Port of Dakar,Sea Port,Tropical,French
Seychelles,Eastern Africa,Victoria,Good,Low,Seychelles International Airport,Port Victoria,Sea Port,Tropical,English
Sierra Leone,Western Africa,Freetown,Good,Low,Lungi International Airport,Port of Freetown,Sea Port,Tropical,English
Somalia,Eastern Africa,Mogadishu,Fair,High,Aden Adde International Airport,Port of Mogadishu,Sea Port,Hot,Arabic
South Africa,Southern Africa,Pretoria,Good,Moderate,O.R. Tambo International Airport,Durban Port,Sea Port,Hot,English
South Sudan,Eastern Africa,Juba,Fair,High,Juba International Airport,Port of Sudan,Sea Port,Hot,English
Sudan,Northern Africa,Khartoum,Fair,Moderate,Khartoum International Airport,Port Sudan,Sea Port,Hot,Arabic
Tanzania,Eastern Africa,Dodoma,Good,Moderate,Julius Nyerere International Airport,Port of Dar es Salaam,Sea Port,Moderate,English
Togo,Western Africa,Lomé,Good,Low,Gnassingbé Eyadéma International Airport,Lomé Container Terminal,Sea Port,Moderate,French
Tunisia,Northern Africa,Tunis,Good,Moderate,Tunis–Carthage International Airport,Port of Rades,Sea Port,Moderate,Arabic
Uganda,Eastern Africa,Kampala,Good,Low,Entebbe International Airport,Port Bell,Inland Port,Moderate,English
Zambia,Eastern Africa,Lusaka,Fair,Low,Harry Mwanga Nkumbula International Airport,Port of Lusaka,Inland Port,Tropical,English
Zimbabwe,Eastern Africa,Harare,Good,Low,Robert Gabriel Mugabe International Airport,Port of Beira,Sea Port,Tropical,English
